sample	sex	platform	basecaller
HG01031	M	R9	dorado_late
HG01046	F	R9	guppy
HG01052	F	R10	dorado_late
HG01061	F	R10	dorado_late
HG01063	M	R10	dorado_mid
HG01064	F	R9	guppy
HG01077	F	R9	dorado_late
HG01088	M	R10	dorado_late
HG01092	F	R9	dorado_mid
HG01113	F	R10	dorado_late
HG01122	F	R9	guppy
HG01125	F	R10	dorado_late
HG01161	M	R9	guppy
HG01164	M	R9	dorado_mid
HG01170	M	R10	dorado_late
HG01173	M	R10	dorado_late
HG01190	M	R10	dorado_late
HG01200	M	R10	dorado_late
HG01204	M	R10	dorado_late
HG01250	M	R10	dorado_late
HG01251	F	R10	dorado_late
HG01260	F	R10	dorado_late
HG01271	M	R10	dorado_late
HG01277	M	R10	dorado_late
HG01281	F	R9	guppy
HG01303	F	R10	dorado_late
HG01305	M	R10	dorado_late
HG01312	F	R9	guppy
HG01323	F	R10	dorado_late
HG01326	F	R10	dorado_late
HG01334	M	R10	dorado_late
HG01342	F	R10	dorado_late
HG01363	F	R9	guppy
HG01369	F	R9	guppy
HG01372	F	R9	guppy
HG01393	F	R9	dorado_mid
HG01395	M	R9	guppy
HG01402	M	R10	dorado_late
HG01403	F	R9	dorado_late
HG01405	M	R10	dorado_late
HG01413	M	R10	dorado_late
HG01414	F	R9	guppy
HG01435	F	R10	dorado_late
HG01443	M	R9	dorado_late
HG01459	F	R9	dorado_late
HG01461	M	R10	dorado_late
HG01468	F	R9	guppy
HG01485	M	R10	dorado_late
HG01486	F	R9	dorado_mid
HG01501	F	R9	guppy
HG01515	M	R10	dorado_late
HG01522	F	R9	dorado_mid
HG01593	F	R9	dorado_mid
HG01607	F	R9	dorado_mid
HG01613	F	R9	dorado_mid
HG01615	M	R9	guppy
HG01669	M	R10	dorado_late
HG01682	M	R10	dorado_late
HG01686	M	R10	dorado_late
HG01695	F	R9	guppy
HG01762	F	R9	dorado_late
HG01771	M	R10	dorado_late
HG01790	F	R9	guppy
HG01795	F	R10	dorado_late
HG01797	F	R9	guppy
HG01801	F	R9	guppy
HG01802	F	R10	dorado_late
HG01804	F	R10	dorado_late
HG01808	F	R10	dorado_late
HG01811	M	R10	dorado_late
HG01812	F	R9	guppy
HG01816	M	R10	dorado_late
HG01841	F	R10	dorado_late
HG01842	M	R10	dorado_late
HG01843	F	R9	dorado_mid
HG01844	M	R9	dorado_mid
HG01845	F	R10	dorado_late
HG01848	F	R9	dorado_late
HG01849	M	R9	guppy
HG01850	F	R10	dorado_late
HG01852	M	R10	dorado_late
HG01855	F	R10	dorado_late
HG01857	F	R10	dorado_late
HG01858	F	R9	guppy
HG01860	M	R10	dorado_late
HG01861	M	R10	dorado_late
HG01862	F	R9	guppy
HG01864	M	R9	dorado_late
HG01867	M	R10	dorado_late
HG01868	F	R9	guppy
HG01869	F	R10	dorado_late
HG01874	F	R9	dorado_late
HG01878	F	R9	dorado_mid
HG01893	F	R10	dorado_late
HG01920	M	R10	dorado_late
HG01970	M	R10	dorado_late
HG01973	F	R10	dorado_late
HG02025	F	R10	dorado_late
HG02026	M	R10	dorado_late
HG02035	M	R10	dorado_late
HG02048	F	R9	guppy
HG02049	F	R9	dorado_mid
HG02050	M	R9	dorado_late
HG02051	M	R9	guppy
HG02086	F	R10	dorado_late
HG02088	M	R10	dorado_late
HG02090	M	R9	guppy
HG02102	F	R9	guppy
HG02113	F	R9	dorado_late
HG02134	M	R10	dorado_late
HG02140	F	R10	dorado_late
HG02141	M	R10	dorado_late
HG02142	F	R9	dorado_mid
HG02150	M	R9	dorado_mid
HG02151	F	R9	dorado_late
HG02166	F	R9	dorado_mid
HG02179	F	R10	dorado_late
HG02181	F	R10	dorado_late
HG02185	F	R9	guppy
HG02186	F	R10	dorado_late
HG02187	F	R10	dorado_late
HG02188	F	R9	dorado_mid
HG02190	F	R9	dorado_mid
HG02215	F	R9	dorado_mid
HG02220	F	R10	dorado_late
HG02230	F	R10	dorado_late
HG02232	F	R10	dorado_late
HG02236	M	R10	dorado_late
HG02252	F	R9	guppy
HG02262	M	R9	guppy
HG02282	F	R9	guppy
HG02301	F	R10	dorado_late
HG02304	M	R9	dorado_late
HG02312	F	R9	guppy
HG02330	M	R9	dorado_mid
HG02334	M	R10	dorado_late
HG02339	F	R9	dorado_mid
HG02343	M	R9	dorado_mid
HG02345	F	R9	guppy
HG02348	F	R9	dorado_mid
HG02351	M	R10	dorado_late
HG02353	M	R10	dorado_late
HG02355	M	R9	dorado_late
HG02356	M	R10	dorado_late
HG02360	M	R9	dorado_mid
HG02373	M	R9	guppy
HG02374	M	R10	dorado_late
HG02379	M	R9	dorado_late
HG02380	M	R10	dorado_late
HG02385	M	R9	dorado_late
HG02389	M	R9	guppy
HG02394	M	R10	dorado_late
HG02396	M	R9	guppy
HG02409	M	R9	guppy
HG02425	F	R9	dorado_mid
HG02439	M	R9	dorado_mid
HG02461	M	R9	dorado_mid
HG02462	F	R9	dorado_late
HG02464	M	R9	dorado_late
HG02465	F	R9	dorado_mid
HG02470	M	R10	dorado_late
HG02471	F	R9	dorado_mid
HG02479	F	R9	dorado_mid
HG02484	M	R10	dorado_late
HG02491	F	R9	guppy
HG02497	F	R9	dorado_mid
HG02501	M	R9	dorado_mid
HG02502	F	R9	guppy
HG02511	F	R9	dorado_mid
HG02541	M	R9	dorado_mid
HG02549	F	R10	dorado_late
HG02555	F	R10	dorado_late
HG02570	M	R9	dorado_late
HG02571	F	R9	dorado_mid
HG02594	M	R10	dorado_late
HG02601	F	R10	dorado_late
HG02613	M	R9	dorado_mid
HG02614	F	R9	guppy
HG02623	M	R9	dorado_mid
HG02624	F	R9	dorado_mid
HG02645	M	R9	dorado_mid
HG02646	F	R9	dorado_mid
HG02675	M	R9	dorado_mid
HG02694	F	R9	guppy
HG02731	F	R9	guppy
HG02759	M	R9	dorado_mid
HG02763	F	R10	dorado_late
HG02772	F	R10	dorado_late
HG02780	M	R10	dorado_late
HG02798	M	R9	dorado_late
HG02808	F	R9	dorado_late
HG02810	M	R10	dorado_late
HG02811	F	R9	dorado_mid
HG02816	M	R9	dorado_late
HG02817	F	R9	guppy
HG02819	M	R10	dorado_late
HG02820	F	R9	dorado_mid
HG02837	F	R10	dorado_late
HG02840	F	R10	dorado_late
HG02852	F	R10	dorado_late
HG02854	M	R10	dorado_late
HG02860	M	R10	dorado_late
HG02861	F	R10	dorado_late
HG02884	M	R10	dorado_late
HG02885	F	R10	dorado_late
HG02887	M	R10	dorado_late
HG02891	F	R10	dorado_late
HG02923	M	R9	dorado_late
HG02952	F	R10	dorado_late
HG02968	M	R10	dorado_late
HG02973	M	R9	dorado_late
HG02974	F	R9	guppy
HG02977	M	R10	dorado_late
HG02979	F	R9	guppy
HG02981	M	R9	dorado_mid
HG03009	M	R10	dorado_late
HG03018	M	R10	dorado_late
HG03022	F	R9	guppy
HG03027	M	R10	dorado_late
HG03045	M	R10	dorado_late
HG03055	F	R10	dorado_late
HG03057	M	R9	dorado_mid
HG03064	F	R9	guppy
HG03066	M	R10	dorado_late
HG03069	M	R9	guppy
HG03072	M	R9	dorado_late
HG03079	F	R10	dorado_late
HG03084	M	R9	dorado_mid
HG03086	F	R9	dorado_mid
HG03099	F	R10	dorado_late
HG03118	M	R10	dorado_late
HG03120	M	R9	guppy
HG03121	F	R9	guppy
HG03123	F	R10	dorado_late
HG03129	F	R10	dorado_late
HG03157	M	R10	dorado_late
HG03160	M	R10	dorado_late
HG03166	M	R10	dorado_late
HG03168	F	R9	guppy
HG03169	M	R9	dorado_late
HG03196	M	R9	dorado_mid
HG03212	F	R9	guppy
HG03224	M	R10	dorado_late
HG03279	F	R9	guppy
HG03280	M	R9	dorado_mid
HG03297	F	R9	dorado_late
HG03298	M	R9	dorado_mid
HG03351	F	R9	dorado_late
HG03352	M	R10	dorado_late
HG03354	F	R9	guppy
HG03366	F	R9	dorado_mid
HG03367	M	R10	dorado_late
HG03369	F	R9	guppy
HG03370	M	R9	guppy
HG03376	M	R9	dorado_late
HG03378	F	R9	dorado_late
HG03382	M	R10	dorado_late
HG03385	M	R10	dorado_late
HG03391	M	R9	guppy
HG03401	F	R9	dorado_mid
HG03433	M	R10	dorado_late
HG03436	M	R10	dorado_late
HG03437	F	R9	guppy
HG03445	M	R9	guppy
HG03460	M	R9	dorado_mid
HG03464	F	R10	dorado_late
HG03472	M	R10	dorado_late
HG03478	M	R10	dorado_late
HG03479	F	R9	dorado_mid
HG03499	F	R9	guppy
HG03514	F	R10	dorado_late
HG03538	M	R10	dorado_late
HG03548	F	R9	guppy
