sample_id	bam_url
HG00119	https://1000g-ont.s3.amazonaws.com/PROCESSED_DATA/ALIGNED_TO_HG38/MINIMAP2_ALIGNED_BAMS/HG00119-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500.phased.bam
HG00121	https://1000g-ont.s3.amazonaws.com/PROCESSED_DATA/ALIGNED_TO_HG38/MINIMAP2_ALIGNED_BAMS/HG00121-ONT-hg38-R9-LSK110-guppy-sup-5mC.phased.bam
HG00126	https://1000g-ont.s3.amazonaws.com/PROCESSED_DATA/ALIGNED_TO_HG38/MINIMAP2_ALIGNED_BAMS/HG00126-ONT-hg38-R9-LSK110-dorado050_sup_5mCG_v33.phased.bam
HG00127	https://1000g-ont.s3.amazonaws.com/PROCESSED_DATA/ALIGNED_TO_HG38/MINIMAP2_ALIGNED_BAMS/HG00127-ONT-hg38-R9-LSK110-guppy-sup-5mC.phased.bam
HG00136	https://1000g-ont.s3.amazonaws.com/PROCESSED_DATA/ALIGNED_TO_HG38/MINIMAP2_ALIGNED_BAMS/HG00136-ONT-hg38-R9-LSK110-guppy-sup-5mC.phased.bam
HG00142	https://1000g-ont.s3.amazonaws.com/PROCESSED_DATA/ALIGNED_TO_HG38/MINIMAP2_ALIGNED_BAMS/HG00142-ONT-hg38-R10-LSK114-dorado034_sup_5mCG_5hmCG_v33.phased.bam
HG00143	https://1000g-ont.s3.amazonaws.com/PROCESSED_DATA/ALIGNED_TO_HG38/MINIMAP2_ALIGNED_BAMS/HG00143-ONT-hg38-R10-LSK114-dorado050_sup_5mCG_v430.phased.bam
HG00145	https://1000g-ont.s3.amazonaws.com/PROCESSED_DATA/ALIGNED_TO_HG38/MINIMAP2_ALIGNED_BAMS/HG00145-ONT-hg38-R10-LSK114-dorado050_sup_5mCG_5hmCG_v430.phased.bam
HG00151	https://1000g-ont.s3.amazonaws.com/PROCESSED_DATA/ALIGNED_TO_HG38/MINIMAP2_ALIGNED_BAMS/HG00151-ONT-hg38-R9-LSK110-guppy-sup-5mC.phased.bam
HG00154	https://1000g-ont.s3.amazonaws.com/PROCESSED_DATA/ALIGNED_TO_HG38/MINIMAP2_ALIGNED_BAMS/HG00154-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500.phased.bam
HG00155	https://1000g-ont.s3.amazonaws.com/PROCESSED_DATA/ALIGNED_TO_HG38/MINIMAP2_ALIGNED_BAMS/HG00155-ONT-hg38-R10-LSK114-dorado081_sup_5mCG_5hmCG_v500.phased.bam
HG00160	https://1000g-ont.s3.amazonaws.com/PROCESSED_DATA/ALIGNED_TO_HG38/MINIMAP2_ALIGNED_BAMS/HG00160-ONT-hg38-R10-LSK114-dorado081_sup_5mCG_5hmCG_v500.phased.bam
HG00171	https://1000g-ont.s3.amazonaws.com/PROCESSED_DATA/ALIGNED_TO_HG38/MINIMAP2_ALIGNED_BAMS/HG00171-ONT-hg38-R10-LSK114-5mCG_5hmCG.phased.bam
HG00231	https://1000g-ont.s3.amazonaws.com/PROCESSED_DATA/ALIGNED_TO_HG38/MINIMAP2_ALIGNED_BAMS/HG00231-ONT-hg38-R10-LSK114-dorado082_sup_5mCG_5hmCG_v500.phased.bam
