sample	chemistry	basecaller	folder
HG01393	R9	dorado_mid	HG01393-ONT-hg38-R9-LSK110-dorado050_sup_5mCG_v33
HG01395	R9	guppy	HG01395-ONT-hg38-R9-LSK110-guppy-sup-5mC
HG01402	R10	dorado_late	HG01402-ONT-hg38-R10-LSK114-dorado081_sup_5mCG_5hmCG_v500
HG01403	R9	dorado_late	HG01403-ONT-hg38-R9-LSK110-dorado082_sup_5mCG_v33
HG01405	R10	dorado_late	HG01405-ONT-hg38-R10-LSK114-dorado081_sup_5mCG_5hmCG_v500
HG01413	R10	dorado_late	HG01413-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG01414	R9	guppy	HG01414-ONT-hg38-R9-LSK110-guppy-sup-5mC
HG01435	R10	dorado_late	HG01435-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG01443	R9	dorado_late	HG01443-ONT-hg38-R9-LSK110-dorado082_sup_5mCG_v33
HG01459	R9	dorado_late	HG01459-ONT-hg38-R9-LSK110-dorado082_sup_5mCG_v33
HG01461	R10	dorado_late	HG01461-ONT-hg38-R10-LSK114-dorado082_sup_5mCG_5hmCG_v500
HG01468	R9	guppy	HG01468-ONT-hg38-R9-LSK110-guppy-sup-5mC
HG01485	R10	dorado_late	HG01485-ONT-hg38-R10-LSK114-dorado082_sup_5mCG_5hmCG_v500
HG01486	R9	dorado_mid	HG01486-ONT-hg38-R9-LSK110-dorado050_sup_with5mC
HG01501	R9	guppy	HG01501-ONT-hg38-R9-LSK110-guppy-sup-5hmc_5mc_cg
HG01515	R10	dorado_late	HG01515-ONT-hg38-R10-LSK114-dorado081_sup_5mCG_5hmCG_v500
HG01522	R9	dorado_mid	HG01522-ONT-hg38-R9-LSK110-dorado050_sup_5mCG_v33
HG01593	R9	dorado_mid	HG01593-ONT-hg38-R9-LSK110-dorado050_sup_5mCG_v33
HG01607	R9	dorado_mid	HG01607-ONT-hg38-R9-LSK110-dorado050_sup_5mCG_v33
HG01613	R9	dorado_mid	HG01613-ONT-hg38-R9-LSK110-dorado050_sup_5mCG_v33
HG01615	R9	guppy	HG01615-ONT-hg38-R9-LSK110-guppy-sup-5mC
HG01669	R10	dorado_late	HG01669-ONT-hg38-R10-LSK114-dorado081_sup_5mCG_5hmCG_v500
HG01682	R10	dorado_late	HG01682-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG01686	R10	dorado_late	HG01686-ONT-hg38-R10-LSK114-dorado081_sup_5mCG_5hmCG_v500
HG01695	R9	guppy	HG01695-ONT-hg38-R9-LSK110-guppy-sup-5mC
HG01762	R9	dorado_late	HG01762-ONT-hg38-R9-LSK110-dorado082_sup_5mCG_v33
HG01771	R10	dorado_late	HG01771-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG01790	R9	guppy	HG01790-ONT-hg38-R9-LSK110-guppy-sup-5mC
HG01795	R10	dorado_late	HG01795-ONT-hg38-R10-LSK114-dorado082_sup_5mCG_5hmCG_v500
HG01797	R9	guppy	HG01797-ONT-hg38-R9-LSK110-guppy-sup-5mC
HG01801	R9	guppy	HG01801-ONT-hg38-R9-LSK110-guppy-sup-5mC
HG01802	R10	dorado_late	HG01802-ONT-hg38-R10-LSK114-dorado081_sup_5mCG_5hmCG_v500
HG01804	R10	dorado_late	HG01804-ONT-hg38-R10-LSK114-dorado081_sup_5mCG_5hmCG_v500
HG01808	R10	dorado_late	HG01808-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG01811	R10	dorado_late	HG01811-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG01812	R9	guppy	HG01812-ONT-hg38-R9-LSK110-guppy-sup-5mC
HG01816	R10	dorado_late	HG01816-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG01841	R10	dorado_late	HG01841-ONT-hg38-R10-LSK114-dorado081_sup_5mCG_5hmCG_v500
HG01842	R10	dorado_late	HG01842-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG01843	R9	dorado_mid	HG01843-ONT-hg38-R9-LSK110-dorado050_sup_with5mC
HG01844	R9	dorado_mid	HG01844-ONT-hg38-R9-LSK110-dorado050_sup_with5mC
HG01845	R10	dorado_late	HG01845-ONT-hg38-R10-LSK114-dorado081_sup_5mCG_5hmCG_v500
HG01848	R9	dorado_late	HG01848-ONT-hg38-R9-LSK110-dorado082_sup_5mCG_v33
HG01849	R9	guppy	HG01849-ONT-hg38-R9-LSK110-guppy657_sup_with5mC_5hmC
HG01850	R10	dorado_late	HG01850-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG01852	R10	dorado_late	HG01852-ONT-hg38-R10-LSK114-dorado081_sup_5mCG_5hmCG_v500
HG01855	R10	dorado_late	HG01855-ONT-hg38-R10-LSK114-dorado081_sup_5mCG_5hmCG_v500
HG01857	R10	dorado_late	HG01857-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG01858	R9	guppy	HG01858-ONT-hg38-R9-LSK110-guppy637_sup_5mC_5hmC
HG01860	R10	dorado_late	HG01860-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG01861	R10	dorado_late	HG01861-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG01862	R9	guppy	HG01862-ONT-hg38-R9-LSK110-guppy-sup-5hmc_5mc_cg
HG01864	R9	dorado_late	HG01864-ONT-hg38-R9-LSK110-dorado082_sup_5mCG_v33
HG01867	R10	dorado_late	HG01867-ONT-hg38-R10-LSK114-dorado081_sup_5mCG_5hmCG_v500
HG01868	R9	guppy	HG01868-ONT-hg38-R9-LSK110-guppy637_sup_5mC_5hmC
HG01869	R10	dorado_late	HG01869-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG01874	R9	dorado_late	HG01874-ONT-hg38-LSK110-R9-dorado082_sup_5mCG_v33
HG01878	R9	dorado_mid	HG01878-ONT-hg38-R9-LSK110-dorado050_sup_with5mC
HG01893	R10	dorado_late	HG01893-ONT-hg38-R10-LSK114-dorado082_sup_5mCG_5hmCG_v500
HG01920	R10	dorado_late	HG01920-ONT-hg38-R10-LSK114-dorado081_sup_5mCG_5hmCG_v500
HG01970	R10	dorado_late	HG01970-ONT-hg38-R10-LSK114-dorado081_sup_5mCG_5hmCG_v500
HG01973	R10	dorado_late	HG01973-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG02025	R10	dorado_late	HG02025-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG02026	R10	dorado_late	HG02026-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG02035	R10	dorado_late	HG02035-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG02048	R9	guppy	HG02048-ONT-hg38-R9-LSK110-guppy-sup-5mC
HG02049	R9	dorado_mid	HG02049-ONT-hg38-R9-LSK110-dorado050_sup_5mCG_v33
HG02050	R9	dorado_late	HG02050-ONT-hg38-R9-LSK110-dorado082_sup_5mCG_v33
HG02051	R9	guppy	HG02051-ONT-hg38-R9-LSK110-guppy-sup-5hmc_5mc_cg
HG02086	R10	dorado_late	HG02086-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG02088	R10	dorado_late	HG02088-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG02090	R9	guppy	HG02090-ONT-hg38-R9-LSK110-guppy657_sup_5mC_5hmC
HG02102	R9	guppy	HG02102-ONT-hg38-R9-LSK110-guppy-sup-5hmc_5mc_cg
HG02113	R9	dorado_late	HG02113-ONT-hg38-R9-LSK110-dorado082_sup_5mCG_v33
HG02134	R10	dorado_late	HG02134-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG02140	R10	dorado_late	HG02140-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG02141	R10	dorado_late	HG02141-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG02142	R9	dorado_mid	HG02142-ONT-hg38-R9-LSK110-dorado050_sup_5mCG_v33
HG02150	R9	dorado_mid	HG02150-ONT-hg38-R9-LSK110-dorado050_sup_5mCG_v33
HG02151	R9	dorado_late	HG02151-ONT-hg38-R9-LSK110-dorado082_sup_5mCG_v33
HG02166	R9	dorado_mid	HG02166-ONT-hg38-R9-LSK110-dorado050_sup_5mCG_v33
HG02179	R10	dorado_late	HG02179-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG02181	R10	dorado_late	HG02181-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG02185	R9	guppy	HG02185-ONT-hg38-R9-LSK110-guppy-sup-5mC
